Aspect of Care	Recommendation	Sources	AUA2020	DGU2020	EAU-ASCO2025	ESMO2024	NCCN2025
**Primary Treatment (Radiotherapy)**	For T3–4 or N+ surgically unresectable disease, consider EBRT with concurrent chemotherapy to the penis and regional lymph nodes.	NCCN2025	"NA (Not Addressed)

The AUA Update Series guideline focuses explicitly on the ""Treatment of Early Stage Squamous Cell Carcinoma of the Penis,"" covering topics like topical therapies, laser ablation, and organ-preserving surgery for Tis, Ta, and T1 disease. The recommendation addresses a different patient population: those with advanced (T3–4 or N+) and surgically unresectable disease. Since the guideline's scope is limited to early-stage cancer, it does not address the management of this advanced clinical scenario."	"**Stance:** R (Recommended)

**Justification:** The guideline aligns with the recommendation for treating advanced, unresectable penile cancer. Specifically, Recommendation 7.46 (page 73) states that for T4 tumors, ""neoadjuvant chemotherapy or radio-chemotherapy should be considered"" (""Eine neoadjuvante Chemotherapie oder eine Radio-Chemotherapie sollte erwogen werden""). This supports the proposed approach of using concurrent chemoradiotherapy for surgically unresectable disease. The guideline further reinforces the use of multimodal therapy for patients with fixed (unresectable) lymph node metastases (N+) in section 7.2.3."	"**Stance:** R (Recommended)

**Justification:** The EAU-ASCO guideline supports the recommendation to consider chemoradiotherapy for surgically unresectable disease. Section 6.1.3.2 states that for non-resectable disease that does not sufficiently respond to induction chemotherapy, ""palliative chemo-radiotherapy is an option."" Furthermore, the recommendation table in Section 6.1.5 explicitly advises to ""Offer... chemo-radiotherapy to patients with non-resectable advanced primary lesions."" This aligns directly with the proposed treatment for the specified patient population (T3-T4 or N+ unresectable)."	"R (Recommended)
The guideline supports the use of radiotherapy (RT) with concurrent chemotherapy for surgically unresectable disease. The management algorithm for inguinal lymph nodes recommends ""RT with concurrent ChT"" for patients with fixed (cN3) disease (Figure 3). Furthermore, in the context of advanced and metastatic disease, the guideline states that ""Palliative RT or RT with concurrent ChT for sites requiring local control should be considered [V, C]."" This aligns with the recommendation to use this combination therapy for unresectable T3-4 or N+ disease."	"R (Recommended)
The guideline recommends this treatment approach for the specified patient population. On page PN-C, under ""Principles of Radiotherapy,"" for ""T3–4 or N+ (surgically unresectable)"" disease, the guideline explicitly states to perform circumcision followed by ""EBRT with concurrent chemotherapy... to whole penile shaft, pelvic lymph nodes, and bilateral inguinal lymph nodes."" This directly aligns with the recommendation to use concurrent EBRT and chemotherapy for the penis and regional lymph nodes in this setting."
**Primary Treatment (Radiotherapy)**	Specific radiotherapy doses may include: <br> • **EBRT:** 66-74 Gy in 2 Gy fractions. <br> • **Brachytherapy (HDR):** 42-45 Gy in 12-14 fractions. <br> • **Brachytherapy (LDR/PDR):** 60-65 Gy delivered continuously over ~5 days.	ESMO2024	"NA (Not Addressed)

The AUA Update Series guideline discusses radiation therapy, including external beam radiation and brachytherapy, as a treatment option for early-stage penile cancer, particularly for patients who are not surgical candidates. However, the guideline does not provide any specific details or recommendations regarding dosage, fractionation, or duration for these radiotherapeutic approaches. Since the treatment recommendation focuses entirely on specific dose regimens, which are absent from the guideline, the recommendation is not addressed."	"**Stance:** NA (Not Addressed)

**Justification:**
The guideline discusses local radiotherapy, including brachytherapy (LDR, PDR, HDR) and external radiation, as organ-preserving treatment options for T1, T2, and T3 tumors. It compares their efficacy to surgery and mentions their use in palliative settings. However, the guideline does not specify any exact dose ranges or fractionation schedules for curative-intent radiotherapy. The only dose mentioned (12 x 3 Gy) is an example for palliative hypofractionated radiotherapy, which is a different context than the curative doses proposed in the recommendation."	"**Stance:** NA (Not Addressed)

**Justification:**
The guideline recommends radiotherapy as an organ-preserving approach for selected patients with T1-T2 lesions. It mentions external beam radiotherapy (EBRT) and brachytherapy as valid options. However, the guideline does not specify the detailed dosing schedules for these modalities as proposed in the treatment recommendation. It only provides a ""minimum dose of 60 Gy EQD2"" for EBRT (Section 6.1.2.9) and offers no specific dose recommendations for any form of brachytherapy, making the specific regimens in the recommendation unaddressed."	"R (Recommended)
The guideline fully supports the specific radiotherapy doses mentioned in the treatment recommendation. Under the ""RT for primary disease"" section, the guideline explicitly states that a typical EBRT course is 66-74 Gy in 2 Gy fractions. It also recommends a usual dose of 60-65 Gy delivered over 5 days for LDR/PDR brachytherapy and a frequently proposed schedule of 42-45 Gy in 12-14 fractions for HDR brachytherapy, directly aligning with the provided recommendation."	"**Stance:** DR (Different Recommendation)

**Justification:** The NCCN guideline recommends a different dose for External Beam Radiation Therapy (EBRT) and is less specific than the treatment recommendation. For primary tumors (T1-2, <4 cm), the guideline suggests a total EBRT dose of 65–70 Gy (PN-C, p. 19), which differs from the recommended range of 66-74 Gy. Furthermore, while the guideline lists brachytherapy as a treatment option, it does not specify any doses or fractionation schedules for either HDR or LDR/PDR modalities, unlike the very specific doses provided in the recommendation."
**Primary Treatment (Multimodal)**	For non-resectable, locally advanced primary tumors (T4), consider induction/neoadjuvant chemotherapy followed by surgery for responders, or chemo-radiotherapy.	DGU2020; EAU-ASCO2025	"NA (Not Addressed)

The guideline explicitly states that its focus is on the ""Treatment of Early Stage Squamous Cell Carcinoma of the Penis,"" covering stages such as carcinoma in situ, Ta, and T1. The treatment recommendation, however, is for non-resectable, locally advanced primary tumors (T4), which represents a much more advanced stage of the disease. As the provided guideline's scope is limited to early-stage cancer, it does not discuss or provide recommendations for the management of T4 tumors."	"R (Recommended)
The guideline aligns with the treatment recommendation. Recommendation 7.46 states that for T4 tumors, neoadjuvant chemotherapy or radio-chemotherapy should be considered (""sollte erwogen werden""). The background information on page 73 further clarifies that for a non-resectable primary tumor, neoadjuvant chemotherapy is indicated (""angezeigt"") to potentially improve local resectability. This directly supports the proposed approach of using induction chemotherapy followed by surgery, or chemo-radiotherapy, for non-resectable T4 tumors."	"**R (Recommended)**

**Justification:**
The guideline directly aligns with the treatment recommendation. Section 6.1.3.2, ""Non-resectable disease,"" states that induction chemotherapy is used to downstage the disease and enable surgical resection in responders. The recommendation table on page 25 further confirms this by advising to ""Offer induction chemotherapy followed by surgery to responders, or chemo-radiotherapy to patients with non-resectable advanced primary lesions,"" which mirrors the proposed treatment approach."	"R (Recommended)
The guideline supports the recommendation to consider neoadjuvant chemotherapy for T4 tumors. The text explicitly states that ""neoadjuvant ChT with up to four cycles of a triplet regimen... in all eligible patients with locally advanced (T4), inoperable, primary penile... SCC... should be discussed"" (p. 8). While the recommendation also suggests chemo-radiotherapy as an option, the guideline primarily discusses this modality in the context of adjuvant treatment for nodal disease rather than as a primary treatment for non-resectable T4 tumors. However, the core recommendation for using neoadjuvant chemotherapy in this setting is clearly aligned."	"R (Recommended)
The NCCN guideline supports the recommendation for treating non-resectable T4 primary tumors. On page PN-D, under ""Principles of Systemic Therapy,"" it states that ""Patients with initially unresectable (T4) primary tumors may be downstaged by response to chemotherapy,"" aligning with the use of induction chemotherapy followed by surgery for responders. Additionally, on page PN-C, under ""Principles of Radiotherapy,"" for ""T3–4... (surgically unresectable)"" tumors, the guideline recommends EBRT with concurrent chemotherapy, which is consistent with the chemo-radiotherapy option in the recommendation."
**Recurrent Disease**	**Local recurrence after organ-sparing surgery should be treated according to the principles of primary tumor management.** Small, non-invasive recurrences can be treated with salvage organ-sparing options.	DGU2020; EAU-ASCO2025; ESMO2024; NCCN2025	"**Stance:** R (Recommended)

**Justification:** The guideline supports treating local recurrence similarly to primary tumors. The treatment algorithm in Figure 4 explicitly outlines management for ""Recurrent lesion at a different site"" and ""Recurrent lesion at the same site,"" listing many of the same organ-sparing options (laser, surgical excision, Mohs surgery, glans resurfacing) as it does for ""De novo lesion."" The text also states that more aggressive surgery like penectomy is an acceptable option for recurrent disease, and provides an example where recurrence after Mohs surgery was successfully managed with a repeat organ-sparing procedure."	"**Stance:** R (Recommended)

**Justification:** The guideline aligns directly with the treatment recommendation. Specifically, recommendation 7.25 (page 61) states that ""Local recurrences after organ-preserving operative therapy should be treated according to the same principles as primary tumors."" The accompanying background information reinforces this by explaining that renewed therapy is sensible and that organ-preserving strategies are equally applicable for recurrences, which supports the recommendation to use salvage organ-sparing options."	"**R (Recommended)**

**Justification:**
The guideline explicitly supports the recommendation. Section 6.1.4, ""Local recurrence after organ-sparing surgery,"" states that ""A second organ-sparing procedure can be performed if there is no corpus cavernosum invasion"" (page 24). This is reinforced by a specific recommendation in the table on page 25 to ""Offer salvage organ-sparing surgery to patients with small recurrences not involving the corpora cavernosa."" The guideline further differentiates treatment for larger recurrences, recommending partial or total amputation, which aligns with the principle of managing the recurrence based on its characteristics, similar to a primary tumor."	"R (Recommended)

The guideline supports the recommendation for managing local recurrence. Under the ""Recurrent disease"" section, it states that ""Recurrent disease on the glans without corpus cavernosum invasion can be managed with wide local excision, distal corporectomy, or in selected cases, brachytherapy may be an option."" This directly aligns with the proposed approach. Furthermore, the guideline's specific recommendations include considering ""salvage penile-sparing options"" for recurrences without invasion of the corpora cavernosa, which is consistent with treating these recurrences according to the principles of primary tumor management."	"**R (Recommended)**

The NCCN guideline aligns with the recommendation to treat local recurrence after organ-sparing surgery according to the principles of primary tumor management. The ""Management of Recurrent Disease"" algorithm (PN-9) explicitly states that for a ""Recurrence of penile lesion after initial penile sparing treatment,"" clinicians should ""Treat according to recurrence stage (PN-1 and PN-2)."" Pages PN-1 and PN-2 detail the primary evaluation and treatment pathways, which include the very organ-sparing options mentioned in the recommendation for early-stage disease."
**Recurrent Disease**	For large local recurrences or those with invasion of the corpora cavernosa, partial or total penectomy is warranted.	AUA2020; EAU-ASCO2025; ESMO2024	"**R (Recommended)**

**Justification:**
The guideline supports the recommendation for using partial or total penectomy for recurrent and advanced disease. The ""Surgery"" section explicitly states, ""More aggressive surgical approaches such as partial and total penectomy are acceptable options for patients with unfavorable histopathology or recurrent disease."" Furthermore, the treatment algorithm in Figure 4 lists ""Partial penectomy"" and ""Radical penectomy"" as treatments for a ""Recurrent lesion at the same site."""	"**Stance:** R (Recommended)

**Justification:** The guideline states that local recurrences after organ-preserving therapy should be treated according to the same principles as primary tumors (Section 7.1.6, Recommendation 7.25). For primary tumors with invasion of the corpora cavernosa (T3 tumors), the guideline recommends a partial penectomy, or a radical (total) penectomy in cases of extensive tumor involvement (Section 7.1.4, Recommendation 7.22). This approach directly aligns with the treatment recommendation to perform a partial or total penectomy for large local recurrences or those with invasion of the corpora cavernosa."	"**R (Recommended)**

**Justification:**
The guideline aligns with the treatment recommendation. Section 6.1.4, ""Local recurrence after organ-sparing surgery,"" explicitly states, ""For large or high-stage recurrence, partial or total amputation is required."" Furthermore, the recommendations table on page 25 includes a specific guideline to ""Offer amputative surgery to patients with large local recurrences or corpora cavernosa involvement,"" directly supporting the proposed treatment."	"R (Recommended)
The guideline aligns with the treatment recommendation. In the ""Recurrent disease"" section, the guideline states that ""More extensive disease involving the corpus cavernosum may require a partial or total penectomy."" This is further reinforced in the formal recommendations section, which specifies that ""Invasion of the corpora cavernosa warrants partial or total penectomy [IV, B],"" directly supporting the proposed treatment."	"**Stance:** R (Recommended)

**Justification:** The guideline recommends that recurrence of a penile lesion after initial treatment should be managed according to the recurrence stage (PN-9). According to the AJCC staging table, invasion of the corpora cavernosa is classified as T3 disease (ST-1). For T2 or greater disease, the guideline lists partial penectomy and total penectomy as primary treatment options (PN-2). Furthermore, under the Principles of Surgery, it explicitly states that ""Partial or total penectomy is necessary when there is invasion into the corpora cavernosum"" (PN-B), directly aligning with the recommendation."
**Recurrent Disease**	After radiotherapy, local recurrence should be treated with surgical salvage therapy.	DGU2020	"**Stance:** R (Recommended)

**Justification:**
The guideline supports this recommendation. It establishes surgery as the ""preferred approach"" for penile cancer due to higher success rates and lower complication rates compared to radiotherapy. The document explicitly states that ""more aggressive surgical approaches such as partial and total penectomy are acceptable options for patients with...recurrent disease."" This general principle for managing recurrence, combined with the stated preference for surgery over radiation, aligns with using surgical salvage for a recurrence after radiotherapy."	"R (Recommended)
The guideline fully supports the treatment recommendation. In Chapter 7.1.6, ""Behandlung von Lokalrezidiven"" (Treatment of Local Recurrences), consensus-based recommendation 7.26 explicitly states, ""Lokalrezidive nach Strahlentherapie sollen mit operativer Salvage-Therapie behandelt werden"" (Local recurrences after radiotherapy should be treated with operative salvage therapy) (p. 61). This statement is a direct match to the proposed recommendation."	"R (Recommended)
The guideline supports the recommendation to use surgical salvage therapy for local recurrence after radiotherapy. Section 6.1.2.9 on page 23 explicitly states, ""Local recurrence after radiotherapy can be salvaged by surgery [170]."" This directly aligns with the proposed treatment recommendation."	"R (Recommended)

The guideline supports the recommendation. In a discussion on brachytherapy, it cites a study where salvage therapy for local recurrence resulted in a 100% local disease control rate. Additionally, the section on managing recurrent disease explicitly states that when feasible, ""further surgery can help palliate these patients,"" detailing options like wide local excision or penectomy for recurrence at the primary tumor site."	"R (Recommended)
The NCCN guideline recommends managing recurrent disease based on its location and prior treatment. The ""Management of Recurrent Disease"" algorithm (PN-9) specifically addresses local recurrence in the inguinal region. For patients who have had prior radiotherapy (RT), the guideline recommends subsequent therapies including inguinal lymph node dissection (ILND), which is a form of surgical salvage."
**Recurrent Disease**	After topical or laser therapy, local recurrence should be treated with a different treatment modality.	DGU2020	"**DR (Different Recommendation)**

**Justification:**
The guideline suggests a different approach than the recommendation. The recommendation mandates using a different treatment modality for local recurrence after topical or laser therapy. However, the guideline provides examples where recurrence was successfully treated with the same modality; for instance, it cites a study where recurrences after Tm:YAG laser were ""re-treated with Tm:YAG laser."" Furthermore, the treatment algorithm for a ""Recurrent lesion at the same site"" lists laser therapy as a viable option, without restricting its use based on the initial treatment modality."	"**R (Recommended)**

**Justification:**
The guideline explicitly supports the treatment recommendation. In section 7.1.6, ""Behandlung von Lokalrezidiven"" (Treatment of Local Recurrences), recommendation 7.27 states that local recurrences after topical medicinal therapy or laser therapies should be treated with a different therapy modality (""Lokalrezidive nach topischer medikamentöser Therapie oder nach Lasertherapien sollen jeweils mit einer anderen Therapiemodalität behandelt werden""). This directly aligns with the proposed treatment approach."	"**Stance:** DR (Different Recommendation)

**Justification:**
The guideline's stance on this recommendation is nuanced and differs depending on the initial treatment. For topical therapy, the guideline aligns with the recommendation, stating that if it fails, ""it should not be repeated"" (page 19). However, for recurrence after laser therapy, the guideline presents a different option, noting that ""Repeat laser treatment for recurrence has been described in some series"" (page 20). Because the guideline allows for the possibility of repeating laser therapy, it does not fully support the recommendation's absolute statement that a different modality *should* always be used for local recurrence."	"R (Recommended)
The guideline aligns with the recommendation by stating that if topical treatment for premalignant disease (PeIN) fails, different modalities such as wide local excision or glans resurfacing (surgical options) should be considered. The guideline also notes the high (~50%) local recurrence rate after laser therapy, further underscoring the need for alternative treatment strategies upon failure or recurrence. This directly supports switching to a different treatment modality when initial therapies are unsuccessful."	"**Stance:** DR (Different Recommendation)

**Justification:** The guideline recommends that treatment for a recurrent penile lesion should be based on the stage of the recurrence, not necessarily by switching to a different modality. The algorithm for ""Recurrence of penile lesion after initial penile sparing treatment"" (PN-9) directs clinicians to ""Treat according to recurrence stage (PN-1 and PN-2)."" This approach means that if the recurrence is of a stage where topical or laser therapy is still an appropriate option (e.g., PeIN, Ta, or select T1a), the guideline does not forbid using that modality again, which contradicts the recommendation to always use a different treatment modality."
**Recurrent Disease**	Regional lymph node recurrence after initial surveillance should be managed according to the same principles as primary lymph node metastases (i.e., with ILND +/- systemic therapy).	DGU2020; ESMO2024; NCCN2025	"NA (Not Addressed)

The guideline focuses on the treatment of ""early stage"" squamous cell carcinoma of the penis, detailing primary local therapies such as topical agents, laser ablation, and various organ-sparing surgical techniques. The recommendation, in contrast, addresses the management of regional lymph node recurrence after a period of surveillance, which is a more advanced stage of disease. While the guideline acknowledges the importance of evaluating inguinal lymph nodes at initial diagnosis, it does not provide any guidance on managing nodal recurrence found during follow-up."	"R (Recommended)
The guideline aligns with the treatment recommendation. In section 7.2.4, consensus-based statement 7.49 explicitly states that regional lymph node recurrence after active surveillance should be treated according to the same principles as primary lymph node metastases. The background information further clarifies that the appearance of lymph node metastases during surveillance is therapeutically equivalent to primary metastatic penile cancer and should be treated accordingly."	"R (Recommended)
The guideline aligns with the treatment recommendation. Section 7.2.3, ""Regional recurrence,"" states that the highest rate of regional recurrence occurs in patients managed by surveillance. It explicitly recommends that ""Regional recurrence requires timely treatment by rILND with (neo)adjuvant chemotherapy/chemo-radiotherapy,"" which directly supports the recommendation to manage this condition with ILND and systemic therapy."	"R (Recommended)

The guideline supports the recommendation. It explicitly addresses the management of recurrent inguinal disease under the ""Salvage ILND"" section. The guideline recommends ""salvage inguinal lymphadenectomy with myocutaneous flap reconstruction in recurrent inguinal disease"" and states it should be part of a ""multimodal treatment which should also include neoadjuvant or adjuvant ChT."" This combination of surgery (ILND) and systemic therapy (ChT) aligns with the recommendation to manage recurrence using the same principles as for primary lymph node metastases."	"R (Recommended)
The guideline recommends managing regional lymph node recurrence in a previously untreated inguinal region using the same principles as for primary nodal disease. The algorithm on page PN-9, ""MANAGEMENT OF RECURRENT DISEASE,"" shows that for local recurrence in the inguinal region with ""No prior inguinal lymphadenectomy or RT,"" treatment involves biopsy and, if positive, proceeds to inguinal lymph node dissection (ILND) and further management based on nodal stage, mirroring the primary treatment pathways. The discussion on page MS-17 further supports this, stating, ""If no prior inguinal lymphadenectomy or RT was given, primary treatment for the management of ILNs can be followed."""
**Recurrent Disease**	Regional lymph node recurrence after a prior radical lymphadenectomy should be managed with a multimodal approach, including neoadjuvant chemotherapy, surgery, and/or radiotherapy.	DGU2020; ESMO2024	"**Stance:** NA (Not Addressed)

**Justification:** The treatment recommendation pertains to the management of regional lymph node recurrence after a radical lymphadenectomy, which represents an advanced or recurrent disease state. The provided AUA guideline is explicitly focused on the ""Treatment of Early Stage Squamous Cell Carcinoma of the Penis,"" as stated in its title and learning objectives. The document details various treatments for primary tumors (Tis, Ta, T1) but does not address the specific clinical scenario of managing nodal recurrence after a prior definitive lymph node dissection."	"**Stance:** R (Recommended)

**Justification:** The guideline directly addresses the management of regional lymph node recurrence after a prior radical lymphadenectomy in section 7.2.4. Recommendation 7.50 explicitly states that this condition should be treated with neoadjuvant chemotherapy and operative therapy. The supporting text on page 76 further clarifies that lymph node recurrences can be influenced by a multimodal therapy consisting of neoadjuvant chemotherapy and salvage lymphadenectomy. This aligns with the treatment recommendation for a multimodal approach."	"**R (Recommended)**

The guideline supports the recommendation for a multimodal approach to regional lymph node recurrence. Section 7.2.3, ""Regional recurrence,"" explicitly states that ""Regional recurrence requires timely treatment by rILND with (neo)adjuvant chemotherapy/chemo-radiotherapy"" (page 38). This statement directly aligns with the recommendation's call for a multimodal approach involving radical inguinal lymph node dissection (surgery), neoadjuvant chemotherapy, and/or radiotherapy."	"**Stance:** R (Recommended)

**Justification:** The guideline directly supports the recommendation for a multimodal approach to regional lymph node recurrence. In the ""Salvage ILND"" section, it states that salvage inguinal lymphadenectomy should be part of a ""multimodal treatment which should also include neoadjuvant or adjuvant ChT"" (page 9). Furthermore, under the ""Recurrent disease"" recommendations, it advises clinicians to ""consider systemic ChT, EBRT, surgery or a combination"" for regional recurrences in the inguinal and pelvic lymph nodes (page 11)."	"**Stance:** R (Recommended)

**Justification:** The guideline aligns with the recommendation for managing regional lymph node recurrence after a prior lymphadenectomy. In the ""Management of Recurrent Disease"" algorithm (PN-9), for patients with local recurrence in the inguinal region who have had a ""Prior inguinal lymphadenectomy or RT,"" the guideline recommends a multimodal approach. The options listed are ""Chemotherapy followed by ILND,"" ""ILND,"" or ""Chemo/RT,"" which directly correspond to the neoadjuvant chemotherapy, surgery, and radiotherapy components mentioned in the recommendation."
**Lymph Node Management**	Following circumcision for a primary tumor, patients with moderately or poorly differentiated tumors (grades 2 and 3) will require inguinal node dissection.	AUA2020	"R (Recommended)
The guideline directly supports the treatment recommendation. In the ""SURGERY"" section, the document states, ""close follow-up is critical for patients with moderately or poorly differentiated tumors (grades 2 and 3), as these will require inguinal node dissection."" This statement is nearly identical to the proposed recommendation, confirming that this course of action is advised for this specific patient population."	"**Stance:** R (Recommended)

**Justification:** The guideline aligns with the recommendation for inguinal node dissection in patients with moderately or poorly differentiated tumors. It explicitly states that clinical surveillance is not sufficient for tumors of grade 2 (G2) or higher (p. 63). Furthermore, Recommendation 6.5 (p. 40) advises invasive investigation of the inguinal lymph nodes—either through modified inguinal lymphadenectomy or sentinel lymph node biopsy—for tumors from category pT1b onwards, a category that includes poorly differentiated tumors (p. 35). Therefore, the guideline supports invasive staging for G2 and G3 tumors."	"DR (Different Recommendation)
The guideline recommends a more nuanced, risk-stratified approach than the treatment recommendation. While it supports surgical staging for poorly differentiated (Grade 3) tumors, which are considered high-risk, it does not universally recommend it for all moderately differentiated (Grade 2) tumors. According to the guideline (page 17), moderately differentiated (G2) pT1a tumors are considered intermediate-risk, and the decision for surgical staging should be made on a case-by-case basis, balancing risk against morbidity. The recommendation's blanket statement for all G2 tumors is therefore not fully aligned with the guideline's detailed criteria."	"DR (Different Recommendation)

The recommendation suggests that all patients with grade 2 or 3 tumors require an inguinal node dissection. The guideline, however, proposes a more nuanced, risk-stratified approach for patients with clinically negative nodes (cN0). For intermediate-risk (pT1G2) and high-risk (pT1-4G3/G4) disease, the guideline first recommends a dynamic sentinel lymph node biopsy (DSLNB) or modified inguinal lymph node dissection. A radical dissection is only recommended if metastasis is confirmed by these initial, less invasive staging procedures, thereby avoiding unnecessary morbidity in node-negative patients."	"**Stance:** DR (Different Recommendation)

**Justification:** The NCCN guideline uses a risk-stratified approach for the management of non-palpable inguinal lymph nodes, which does not fully align with the provided recommendation. While the guideline does recommend inguinal lymph node dissection (ILND) or dynamic sentinel node biopsy (DSNB) for high-risk patients—including those with high-grade (Grade 3) tumors (pT1b) or any T2 or greater tumor—it recommends surveillance for low-risk patients (PN-3). A moderately differentiated (Grade 2) T1 tumor without other high-risk features would be classified as T1a and fall into the low-risk category, for which surveillance, not immediate dissection, is the recommended management. Therefore, the guideline differs by not universally recommending inguinal node dissection for all Grade 2 tumors."
**Lymph Node Management**	For palpable, mobile inguinal nodes (cN1-cN2), inguinal lymph node dissection (ILND) is recommended. The dissection may be fascial-sparing or radical, with preservation of the saphenous vein where possible.	DGU2020; EAU-ASCO2025; ESMO2024; NCCN2025	"NA (Not Addressed)

The guideline focuses on the management of ""early stage"" penile cancer, specifically addressing treatments for the primary tumor (Tis, Ta, T1) such as topical therapies, laser ablation, and organ-preserving surgery. While the document mentions that inguinal lymph nodes must be evaluated for lymphadenopathy, it does not provide any specific treatment recommendations for patients who present with clinically palpable, positive nodes (cN1-cN2). The recommendation to perform inguinal lymph node dissection (ILND) for palpable nodes is not discussed in this guideline."	"DR (Different Recommendation)
The guideline recommends a more aggressive approach than the treatment recommendation. For patients with palpable inguinal nodes (cN1/cN2) and confirmed metastases, the guideline explicitly recommends a radical inguinal lymphadenectomy (RIL) (Recommendation 7.35, Page 67). The description of the RIL procedure in the guideline includes the ligation of the great saphenous vein (""die V. saphena magna am Übergang zur V. femoralis ligiert"") (Section 7.2.2.1, page 67). This directly contradicts the treatment recommendation's suggestion to preserve the saphenous vein where possible and its allowance for a less aggressive, fascial-sparing dissection."	"**R (Recommended)**

**Justification:**
The guideline strongly supports the recommendation. Section 6.2.2.1 states that radical inguinal lymph node dissection (ILND) is the standard of care for patients with cN1-2 disease. Furthermore, the recommendations table on page 28 explicitly advises offering either fascial-sparing ILND or open radical ILND (sparing the saphenous vein, if possible) for cN1 disease, and open radical ILND (sparing the saphenous vein, if possible) for cN2 disease, which directly aligns with the proposed treatment."	"R (Recommended)
The guideline supports the recommendation. Under the section ""Management of cN1-2 disease,"" the guideline states that patients with clinically doubtful inguinal lymph node disease should undergo radical inguinal lymphadenectomy if metastatic disease is confirmed. It further specifies that ""Radical inguinal lymphadenectomy removes the superficial and deep inguinal LNs with preservation of the long saphenous vein and fascia lata where possible,"" which directly aligns with the recommendation. The formal recommendations section on page 9 reiterates this for cN1-2 disease."	"DR (Different Recommendation)

The NCCN guideline recommends a different initial management approach for palpable, mobile inguinal nodes compared to the treatment recommendation. The guideline (page PN-4) advocates for a percutaneous lymph node biopsy first to confirm malignancy in patients with unilateral, mobile nodes <4 cm. Inguinal lymph node dissection (ILND) is only recommended as a subsequent step if the biopsy is positive. This differs from the treatment recommendation, which suggests proceeding directly to ILND for all patients with cN1-cN2 disease."
**Lymph Node Management**	If intraoperatively suspicious nodes are removed during surgery for cN+ disease, frozen section analysis should be performed. If positive, an ipsilateral radical lymphadenectomy should be completed in the same session.	DGU2020	"**Stance:** NA (Not Addressed)

**Justification:** The guideline focuses exclusively on the treatment of ""early stage"" penile cancer, detailing various organ-preserving approaches for the primary tumor such as topical therapies, laser treatment, and conservative surgery (e.g., circumcision, glansectomy). The recommendation, however, describes a specific intraoperative management strategy for clinically positive lymph nodes (cN+ disease), which represents a more advanced stage of cancer. The provided guideline does not discuss the surgical management of lymph nodes in detail, nor does it mention the use of intraoperative frozen section analysis to guide immediate radical lymphadenectomy."	"**Stance:** R (Recommended)

**Justification:** The guideline fully supports the treatment recommendation. Recommendation 7.34 states that for intraoperatively suspicious inguinal lymph nodes, a frozen section analysis should be performed, and if the result is positive, an ipsilateral radical lymphadenectomy should be carried out. The background information on page 67 further specifies that this radical lymphadenectomy should be performed in the same session, mirroring the proposed recommendation exactly."	"NA (Not Addressed)

**Justification:**
The guideline does not address the specific recommendation of using intraoperative frozen section analysis on suspicious lymph nodes in clinically node-positive (cN+) patients to decide on completing a radical lymphadenectomy in the same session. For cN+ patients, the guideline instead recommends pre-operative confirmation of metastasis via image-guided biopsy before initiating treatment (Section 5.2.3). The guideline discusses the use of frozen section analysis, but only in the context of assessing the resection margins of the primary tumor during organ-sparing surgery (Section 6.1.2.2)."	"DR (Different Recommendation)

The guideline proposes a different management strategy for clinically node-positive (cN+) disease compared to the recommendation. For palpable inguinal nodes (cN1-2), the guideline's algorithm (Figure 3) and text recommend confirming metastases pre-operatively with a fine-needle aspiration or biopsy, which is then followed by a radical inguinal lymphadenectomy. The guideline does mention using intraoperative frozen section analysis to guide a radical lymphadenectomy, but this is specifically recommended for high-risk, clinically node-negative (cN0) patients undergoing a modified dissection when a sentinel node biopsy is unavailable."	"**Stance:** DR (Different Recommendation)

**Justification:** The NCCN guideline recommends a different diagnostic and therapeutic pathway for clinically node-positive (cN+) disease. For palpable, non-bulky nodes, the guideline recommends a pre-operative percutaneous biopsy to confirm metastasis (PN-4). If the biopsy is positive, the guideline then recommends a bilateral inguinal lymph node dissection (ILND), not an ipsilateral one as suggested in the recommendation. The rationale provided in the discussion section is that in patients with a unilateral palpable node, approximately 30% will have positive contralateral nodes that are not palpable, thus warranting a bilateral procedure (MS-12)."
