gemini-2.5-pro
# Task:
    
You are given a list of treatment recommendations for penile cancer. Your task is to identify and remove duplicates — that is, recommendations that convey the same clinical advice or intent, even if worded differently.
However, do not merge or group recommendations that represent distinct treatments, approaches, or clinical decisions, even if they appear under a shared heading or are closely related.

If multiple options are listed under a broader category (e.g., organ-sparing surgery), treat each bullet or treatment modality as a potentially distinct recommendation unless two entries are clearly semantically equivalent.

When removing duplicates, always retain the most comprehensive, specific, or medically precise version. But do not combine multiple unique recommendations into a single, summarized entry.

When in doubt, err on the side of treating treatments as separate unless they are clearly interchangeable.


When duplicates are merged, list all the sources that provided this unified recommendation in the "Sources" column.

If a recommendation is unique (not merged), the "Sources" column should list only the source where it appeared.

If multiple recommendations are merged, the "Sources" column should contain all relevant sources, separated by semicolons.

    
    
    # List of Treatment Recommendations:
    | Source       | Aspect of Care                                                                         | Recommendation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| ESMO2024     | **Diagnosis & Staging**                                                                | **Primary Tumour Assessment:** Clinical assessment should record size, morphology, and relationship to adjacent structures. In cases of uncertainty, MRI or penile ultrasound (US) combined with an intracavernosal injection of prostaglandin E1 can be useful.                                                                                                                                                                                                                                                                                                                                              |
| ESMO2024     | **Diagnosis & Staging**                                                                | **Distant Metastasis Assessment:** CT of the chest, abdomen, and pelvis is advised in all cases. For patients with high-risk disease, MRI or CT fusion PET can be used.                                                                                                                                                                                                                                                                                                                                                                                                                                       |
| ESMO2024     | **Primary Tumour Management**                                                          | **Penile Intraepithelial Neoplasia (PeIN):**<br>• **Initial Treatment:** Circumcision is recommended for any biopsy-proven PeIN located on the glans or prepuce.<br>• **Residual Disease:** Following circumcision, treat residual PeIN with topical agents (e.g., 5-FU, imiquimod) or CO2 laser ablation.<br>• **Treatment Failure:** If topical treatment fails, wide local excision or glans resurfacing should be considered. Response to topical therapy should be assessed clinically or with a repeat biopsy.                                                                                          |
| ESMO2024     | **Primary Tumour Management**                                                          | **Ta-T1 Disease:**<br>• **Surgical Options:** Wide local excision of lesions on the glans or a glans resurfacing procedure is recommended, with reconstruction using a split-thickness skin graft (SSG) or penile shaft skin.<br>• **Specialised Surgery:** Mohs micrographic surgery may be performed for low-grade T1 lesions, but only if the appropriate clinical set-up, including a pathologist, is available.<br>• **Radiotherapy Alternative:** Brachytherapy is an alternative to surgery for pT1 disease; patients should be referred to specialist centres for multidisciplinary consideration.    |
| ESMO2024     | **Primary Tumour Management**                                                          | **T2-T4 Disease:**<br>• **T2 on Glans:** Glansectomy with or without distal urethrectomy and SSG reconstruction is recommended.<br>• **T3-T4 (Corpus Cavernosum Invasion):** Partial or total penectomy with perineal urethrostomy is recommended.<br>• **Radiotherapy Alternative (T1-T2):** In selected patients with low-volume T1-T2 disease, brachytherapy is an option in specialist centres.                                                                                                                                                                                                           |
| ESMO2024     | **Primary Tumour Management**                                                          | **Radiotherapy (RT) for Primary Disease:**<br>• **General:** Physicians in specialist centres may recommend LDR or HDR brachytherapy, especially if surgery is not an option.<br>• **External Beam RT (EBRT):** A typical course is 66-74 Gy in 2 Gy fractions, five times per week.<br>• **Brachytherapy (HDR):** For intact tumours, the most frequently proposed schedule is 42-45 Gy in 12-14 fractions. The usual dose can also be 35 Gy in nine fractions over 5 days.<br>• **Brachytherapy (LDR/PDR):** The usual dose is 60-65 Gy delivered continuously (LDR) or in hourly pulses (PDR) over 5 days. |
| ESMO2024     | **Regional Lymph Node Management**                                                     | **cN0 (Non-palpable) Disease:**<br>• **Low-Risk (pTa/pTis and pT1G1):** Clinical surveillance of inguinal nodes is recommended.<br>• **Intermediate/High-Risk (pT1G2, pT1-4G3/G4 or lymphovascular invasion):** Dynamic sentinel lymph node biopsy (DSLNB) should be performed. If positive, proceed to radical inguinal lymphadenectomy.                                                                                                                                                                                                                                                                     |
| ESMO2024     | **Regional Lymph Node Management**                                                     | **cN1-2 (Palpable) Disease:** Radical inguinal lymphadenectomy is recommended to remove superficial and deep inguinal lymph nodes, with preservation of the long saphenous vein and fascia lata where possible.                                                                                                                                                                                                                                                                                                                                                                                               |
| ESMO2024     | **Regional Lymph Node Management**                                                     | **cN3 (Bulky/Ulcerated) Disease:** Neoadjuvant chemotherapy (ChT) with triplet regimens (e.g., TIP or TPF) should be discussed for eligible patients with fixed nodes. Responders should undergo ipsilateral radical inguinal lymphadenectomy, with or without pelvic lymphadenectomy.                                                                                                                                                                                                                                                                                                                        |
| ESMO2024     | **Regional Lymph Node Management**                                                     | **Pelvic Lymph Node Dissection (PLND):** Unilateral PLND is recommended for patients with two or more ipsilateral inguinal metastases, a metastasis with a diameter of ≥30 mm, or extranodal extension.                                                                                                                                                                                                                                                                                                                                                                                                       |
| ESMO2024     | **Regional Lymph Node Management**                                                     | **Salvage Inguinal Lymph Node Dissection (ILND):** Salvage ILND with myocutaneous flap reconstruction may be recommended for recurrent inguinal disease. It should be part of a multimodal treatment plan that includes neoadjuvant or adjuvant ChT.                                                                                                                                                                                                                                                                                                                                                          |
| ESMO2024     | **Systemic Therapy**                                                                   | **Locally Advanced Disease (Adjuvant ChT):** For patients with pN2 and pN3 disease following lymph node dissection (LND), adjuvant ChT should be considered.                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| ESMO2024     | **Systemic Therapy**                                                                   | **Locally Advanced Disease (Adjuvant RT):** For patients with pN3 disease, consider adjuvant RT with at least 50 Gy in 2 Gy fractions (or a biological equivalent dose in 1.8 Gy fractions) in combination with adjuvant ChT. Higher doses up to 66 Gy have also been recommended.                                                                                                                                                                                                                                                                                                                            |
| ESMO2024     | **Systemic Therapy**                                                                   | **Metastatic Disease (First-Line):** Treatment options include systemic ChT with platinum-based combination regimens (e.g., cisplatin-5FU, carboplatin-paclitaxel, TIP, or TPF), depending on patient comorbidities, fitness, and ECOG PS. Clinical trial enrolment is strongly recommended.                                                                                                                                                                                                                                                                                                                  |
| ESMO2024     | **Systemic Therapy**                                                                   | **Metastatic Disease (Subsequent Lines):** For patients with no response or disease progression, consider second-line systemic ChT, RT for local control, best supportive care, or a clinical trial.                                                                                                                                                                                                                                                                                                                                                                                                          |
| ESMO2024     | **Systemic Therapy**                                                                   | **Metastatic Disease (Molecularly Selected):**<br>• Biomarker-selected clinical trials should be considered where available.<br>• In selected patients whose tumours have a high TMB, MSI-H, or dMMR, the use of anti-PD-L1 immunotherapy can be considered.                                                                                                                                                                                                                                                                                                                                                  |
| ESMO2024     | **Recurrent Disease Management**                                                       | **Local Recurrence:**<br>• **Non-invasive:** Salvage penile-sparing options can be considered.<br>• **Invasive:** Invasion of the corpora cavernosa warrants partial or total penectomy.                                                                                                                                                                                                                                                                                                                                                                                                                      |
| ESMO2024     | **Recurrent Disease Management**                                                       | **Regional Recurrence:** For recurrences in the inguinal and pelvic lymph nodes, consider systemic ChT, EBRT, surgery, or a combination thereof.                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| ESMO2024     | **Follow-up Care**                                                                     | **Frequency & Duration:** Close follow-up every 3-4 months is required for the first 2 years following primary surgery to detect local recurrence.                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| ESMO2024     | **Follow-up Care**                                                                     | **Procedures:** Follow-up should include clinical examination and imaging. Imaging may consist of US of the inguinal LNs for patients post-DSLNB or regular CT surveillance for patients post-radical inguinal lymphadenectomy for pN+ disease.                                                                                                                                                                                                                                                                                                                                                               |
| ESMO2024     | **Follow-up Care**                                                                     | **Supportive Care:** Regular follow-up should provide psychological support and address sexual and urinary dysfunction, as well as lymphoedema-related complications.                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| NCCN2025     | **Primary Treatment**                                                                  | **For Penile Intraepithelial Neoplasia (PeIN) or Ta Disease:**<br>• Treatment options include: Topical therapy, Wide local excision, Laser therapy (category 2B), Complete glansectomy (category 2B), or Mohs surgery in select cases (category 2B).                                                                                                                                                                                                                                                                                                                                                          |
| NCCN2025     | **Primary Treatment**                                                                  | **For Pathologic Stage pT1a:**<br>• Treatment options include: Wide local excision, Partial penectomy, Glansectomy in select cases, Mohs surgery in select cases (category 2B), Laser therapy (category 2B), or Radiation Therapy (RT) (category 2B).                                                                                                                                                                                                                                                                                                                                                         |
| NCCN2025     | **Primary Treatment**                                                                  | **For Pathologic Stage pT1b:**<br>• Treatment options include: Wide local excision, Partial penectomy, Total penectomy, RT (category 2B), or Chemo/RT (category 3).                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| NCCN2025     | **Primary Treatment**                                                                  | **For T2 or Greater:**<br>• Treatment options include: Partial penectomy, Total penectomy, RT (category 2B), or Chemo/RT (category 3).                                                                                                                                                                                                                                                                                                                                                                                                                                                                        |
| NCCN2025     | **Primary Treatment (Topical)**                                                        | **For PeIN or Ta disease:**<br>• **Imiquimod 5% cream:** Apply at night three times per week for 4–16 weeks.<br>• **5-FU cream 5%:** Apply twice daily for 2–6 weeks.                                                                                                                                                                                                                                                                                                                                                                                                                                         |
| NCCN2025     | **Primary Treatment (Surgical)**                                                       | **For high-grade primary tumors:** Partial penectomy is standard, provided a functional stump with negative margins can be achieved. If not possible, a total penectomy should be performed.<br>• **For tumors with invasion into the corpora cavernosum:** Partial or total penectomy is necessary.<br>• **Intraoperative frozen sections** are recommended to determine negative margins.                                                                                                                                                                                                                   |
| NCCN2025     | **Primary Treatment (Surgical - Organ-Sparing)**                                       | **For Wide Local Excision (Stage PeIN, Ta, T1):** Complete excision with wide negative margin is needed. If margins are positive, re-resection may be considered.<br>• **For tumors of the shaft:** May be treated with wide local excision with or without circumcision.<br>• **For tumors of the distal prepuce:** Circumcision alone may be reasonable.                                                                                                                                                                                                                                                    |
| NCCN2025     | **Primary Treatment (Surgical - Organ-Sparing)**                                       | **For Glansectomy (Stage PeIN, Ta, T1 on glans/prepuce):**<br>• For PeIN or Ta disease, a complete glansectomy is a category 2B recommendation.<br>• For T1 G1-2 disease, glansectomy is not recommended unless required to ensure complete tumor eradication with negative margins.                                                                                                                                                                                                                                                                                                                          |
| NCCN2025     | **Primary Treatment (Surgical - Organ-Sparing)**                                       | **For Mohs Micrographic Surgery (Category 2B):** An alternative to wide local excision in select cases. It may be preferable for a small superficial lesion on the proximal shaft to avoid total penectomy.                                                                                                                                                                                                                                                                                                                                                                                                   |
| NCCN2025     | **Primary Treatment (Radiotherapy)**                                                   | **For T1–2, N0 tumors <4 cm:** After circumcision, options include: Brachytherapy alone (category 2B, performed with interstitial implant), EBRT (total dose 65–70 Gy), or EBRT with concurrent chemotherapy (category 3).                                                                                                                                                                                                                                                                                                                                                                                    |
| NCCN2025     | **Primary Treatment (Radiotherapy)**                                                   | **For T1–2, N0 tumors ≥4 cm:** After circumcision, options include: EBRT with concurrent chemotherapy (total dose 65–70 Gy) or Brachytherapy alone (category 2B) in select cases with careful post-treatment surveillance.                                                                                                                                                                                                                                                                                                                                                                                    |
| NCCN2025     | **Primary Treatment (Radiotherapy)**                                                   | **For T3–4 or N+ (surgically unresectable):** After circumcision, EBRT with concurrent chemotherapy (total dose 60-70 Gy) to the whole penile shaft, pelvic lymph nodes, and bilateral inguinal lymph nodes.                                                                                                                                                                                                                                                                                                                                                                                                  |
| NCCN2025     | **Lymph Node Management (Non-Palpable Nodes)**                                         | **For Low-Risk Primary Lesion (PeIN, Ta, T1a):** Surveillance of the inguinal lymph nodes is recommended.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     |
| NCCN2025     | **Lymph Node Management (Non-Palpable Nodes)**                                         | **For Intermediate/High-Risk Primary Lesion (T1b, or any T2 or greater):**<br>• **Treatment:** Bilateral inguinal lymph node dissection (ILND) or Bilateral dynamic sentinel node biopsy (DSNB).<br>• **Additional Clarifications:** DSNB is recommended only if the treating physician has experience. If DSNB is positive, ILND is recommended. Prophylactic EBRT (category 2B) to inguinal nodes can be considered for patients who are not surgical candidates or decline surgery.                                                                                                                        |
| NCCN2025     | **Lymph Node Management (Palpable, Non-Bulky Nodes)**                                  | **For Unilateral Mobile Lymph Node(s) <4 cm:**<br>• **Low-Risk Primary:** Percutaneous lymph node biopsy. If negative, options are excisional biopsy or surveillance.<br>• **High-Risk Primary or Positive Biopsy:** Bilateral ILND is recommended. Alternatively, consider neoadjuvant TIP chemotherapy followed by ILND.                                                                                                                                                                                                                                                                                    |
| NCCN2025     | **Lymph Node Management (Palpable, Bulky Nodes)**                                      | **For Unilateral Mobile Lymph Nodes ≥4 cm:**<br>• After a positive percutaneous biopsy, the preferred treatment is Neoadjuvant TIP chemotherapy followed by ILND (consider PLND).<br>• For patients not eligible for TIP, ILND (preferred, consider PLND) is an option.                                                                                                                                                                                                                                                                                                                                       |
| NCCN2025     | **Lymph Node Management (Palpable, Bulky Nodes)**                                      | **For Unilateral Fixed or Bilateral (Fixed or Mobile) Lymph Nodes:**<br>• After a positive percutaneous biopsy, neoadjuvant TIP chemotherapy is recommended.<br>• **If response to chemo:** ILND (preferred) and PLND (preferred).<br>• **If no response:** Proceed to management for metastatic/progressive disease.<br>• **If not eligible for neoadjuvant chemo:** ILND (preferred) and PLND (preferred) or RT or Chemo/RT.                                                                                                                                                                                |
| NCCN2025     | **Lymph Node Management (Enlarged Pelvic Nodes)**                                      | **If percutaneous biopsy is positive and patient is a surgical candidate:** Neoadjuvant TIP chemotherapy. If there is a stable or clinical response, consolidation surgery (bilateral superficial and deep ILND and unilateral/bilateral PLND) is recommended.<br>• **If percutaneous biopsy is positive and patient is a non-surgical candidate:** Chemo/RT.                                                                                                                                                                                                                                                 |
| NCCN2025     | **Lymph Node Management (Surgical Principles)**                                        | **Pelvic Lymph Node Dissection (PLND):**<br>• Should be considered for patients with ≥2 positive inguinal nodes on the ipsilateral ILND site or with extranodal extension.<br>• A bilateral PLND should be considered for patients with ≥4 total positive inguinal nodes.                                                                                                                                                                                                                                                                                                                                     |
| NCCN2025     | **Adjuvant Therapy (Post-Lymphadenectomy)**                                            | **For pN2-3 disease:** Consider Pelvic lymph node dissection (PLND) ± adjuvant RT/chemotherapy (Cat 2B), OR Chemo/RT (Cat 2B), OR Chemotherapy (Cat 2B).                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| NCCN2025     | **Adjuvant Therapy (Post-Lymphadenectomy)**                                            | **After neoadjuvant chemo and ILND with ≥2 positive nodes or extranodal extension:** Adjuvant chemotherapy (if not already given) and/or adjuvant RT (if pelvic nodes are positive) or Chemo/RT (category 2B).                                                                                                                                                                                                                                                                                                                                                                                                |
| NCCN2025     | **Adjuvant Therapy (Post-Lymphadenectomy)**                                            | **For high-risk features (pelvic node metastases, extranodal extension, bilateral inguinal nodes, ≥4 cm tumor in nodes):** If not given preoperatively, 4 courses of TIP chemotherapy is reasonable. Adjuvant EBRT or Chemo/RT can also be considered.                                                                                                                                                                                                                                                                                                                                                        |
| NCCN2025     | **Adjuvant Therapy (Radiotherapy)**                                                    | **For positive margins after penectomy:** Postsurgical EBRT (45–60 Gy). If gross disease remains, treat as T3-4/N+.<br>• **For positive inguinal/pelvic lymph nodes:** Recommended for palpable bulky nodes. Consider for pN2-3 disease (Cat 2B) or local recurrence. Involves EBRT to nodes (45–50.4 Gy) with a boost to gross disease (65–70 Gy).                                                                                                                                                                                                                                                           |
| NCCN2025     | **Systemic Therapy (Metastatic/Recurrent)**                                            | **First-Line Therapy:**<br>• **Preferred:** TIP (paclitaxel, ifosfamide, cisplatin).<br>• **Other Recommended:** 5-FU + cisplatin; 5-FU + cisplatin + pembrolizumab followed by pembrolizumab maintenance; 5-FU + carboplatin + pembrolizumab followed by pembrolizumab maintenance.<br>• **Not Recommended:** Bleomycin-containing regimens.                                                                                                                                                                                                                                                                 |
| NCCN2025     | **Systemic Therapy (Metastatic/Recurrent)**                                            | **Subsequent-Line Therapy:**<br>• **Preferred:** Clinical trial. OR Pembrolizumab for unresectable/metastatic MSI-H/dMMR or TMB-H (≥10 mut/Mb) tumors that have progressed after prior treatment.<br>• **Useful in Certain Circumstances:** Paclitaxel or Cetuximab.<br>• **Other:** Any tumor-agnostic therapies based on NGS results.                                                                                                                                                                                                                                                                       |
| NCCN2025     | **Management of Recurrence**                                                           | **For recurrence of penile lesion after initial penile-sparing treatment:** Treat according to the new recurrence stage (per primary treatment guidelines).                                                                                                                                                                                                                                                                                                                                                                                                                                                   |
| NCCN2025     | **Management of Recurrence**                                                           | **For local recurrence in inguinal region with no prior RT/lymphadenectomy:**<br>• **Single, mobile, <4 cm node:** Percutaneous biopsy. If positive, perform ILND.<br>• **Fixed node, ≥4 cm node, or cN2/N3 disease:** Manage as palpable bulky primary disease.                                                                                                                                                                                                                                                                                                                                              |
| NCCN2025     | **Management of Metastatic Disease**                                                   | **After initial systemic chemotherapy:**<br>• **If complete/partial response or stable disease:** Consolidation surgery (bilateral superficial and deep ILND and unilateral/bilateral PLND).<br>• **If no response/disease progression:** Consider subsequent-line systemic therapy, RT for local control, clinical trial, or best supportive care.                                                                                                                                                                                                                                                           |
| NCCN2025     | **Palliative Care**                                                                    | **For palliative intent:** Consider a palliative RT dose of 30 Gy in 10 fractions.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| NCCN2025     | **Follow-up Care (Surveillance)**                                                      | **After Topical/Local Therapy:** Clinical exam every 3 mo (Years 1-2), every 6 mo (Years 3-5), every 12 mo (Years 5-10).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |
| NCCN2025     | **Follow-up Care (Surveillance)**                                                      | **After Partial/Radical Penectomy:** Clinical exam every 6 mo (Years 1-2), every 12 mo (Years 3-10).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          |
| NCCN2025     | **Follow-up Care (Surveillance)**                                                      | **After Node Treatment (pN0, N1):** Clinical exam, CT abdomen/pelvis, and chest radiograph every 6 mo (Years 1-2), then every 12 mo (Years 3-4).                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
| NCCN2025     | **Follow-up Care (Surveillance)**                                                      | **After Node Treatment (pN2, N3):** Clinical exam and CT of chest/abdomen/pelvis every 3 mo (Year 1), then every 6 mo (Years 2-4).                                                                                                                                                                                                                                                                                                                                                                                                                                                                            |
| NCCN2025     | **Follow-up Care (Surveillance)**                                                      | **Imaging for abnormal findings:** If a clinical exam is abnormal, or for patients with obesity or prior inguinal surgery, consider ultrasound, CT, or MRI of the inguinal region.                                                                                                                                                                                                                                                                                                                                                                                                                            |


# Formatting Instructions:

Output Format: Present findings clearly in a structured table as follows:
Aspect of Care, Recommendation, Sources

| Aspect of Care              | Recommendation                     | Sources                         |
| :-------------------------- | :----------------------------------| :-------------------------------|
| **Aspect of Care 1**        | **Recommendation 1**               | Source1; Source2; Source3       |
| **Aspect of Care 2**        | **Recommendation 2**               | Source1; Source2                |


Make sure that all unique recommendations mentioned are listed.
